Time (UTCG),q1,q2,q3,q4
00:00.0,-0.272027,-0.651807,0.269194,0.654739
01:00.0,-0.263147,-0.672753,0.277881,0.633198
02:00.0,-0.25399,-0.692987,0.286275,0.610986
03:00.0,-0.244565,-0.712489,0.294368,0.588129
04:00.0,-0.234882,-0.731236,0.30215,0.564649
05:00.0,-0.224952,-0.749211,0.309615,0.540572
06:00.0,-0.214785,-0.766393,0.316753,0.515924
07:00.0,-0.204392,-0.782764,0.323557,0.490729
08:00.0,-0.193783,-0.798307,0.33002,0.465016
09:00.0,-0.18297,-0.813007,0.336136,0.438811
10:00.0,-0.171964,-0.826846,0.341897,0.412142
11:00.0,-0.160777,-0.83981,0.347298,0.385037
12:00.0,-0.149421,-0.851887,0.352334,0.357524
13:00.0,-0.137907,-0.863062,0.356998,0.329634
14:00.0,-0.126248,-0.873324,0.361286,0.301394
15:00.0,-0.114456,-0.882663,0.365193,0.272836
16:00.0,-0.102543,-0.891068,0.368715,0.24399
17:00.0,-0.090522,-0.898531,0.371849,0.214885
18:00.0,-0.078406,-0.905043,0.374592,0.185553
19:00.0,-0.066207,-0.910598,0.376939,0.156025
20:00.0,-0.053939,-0.91519,0.37889,0.126332
21:00.0,-0.041613,-0.918814,0.380441,0.096505
22:00.0,-0.029244,-0.921467,0.381591,0.066577
23:00.0,-0.016844,-0.923144,0.382339,0.036577
24:00.0,-0.004426,-0.923845,0.382685,0.006539
25:00.0,0.007997,-0.923569,0.382627,-0.023505
26:00.0,0.020411,-0.922316,0.382166,-0.053525
27:00.0,0.032803,-0.920088,0.381303,-0.083489
28:00.0,0.045161,-0.916886,0.380037,-0.113364
29:00.0,0.057472,-0.912715,0.378372,-0.143119
30:00.0,0.069722,-0.907578,0.376307,-0.172723
31:00.0,0.081898,-0.901482,0.373846,-0.202144
32:00.0,0.093989,-0.894432,0.370992,-0.231351
33:00.0,0.10598,-0.886436,0.367746,-0.260314
34:00.0,0.11786,-0.877502,0.364113,-0.289001
35:00.0,0.129615,-0.86764,0.360096,-0.317382
36:00.0,0.141234,-0.856861,0.3557,-0.345428
37:00.0,0.152704,-0.845175,0.350929,-0.373109
38:00.0,0.164013,-0.832595,0.345788,-0.400395
39:00.0,0.17515,-0.819135,0.340283,-0.427257
40:00.0,0.186101,-0.804808,0.334419,-0.453667
41:00.0,0.196857,-0.78963,0.328203,-0.479598
42:00.0,0.207406,-0.773617,0.321641,-0.505021
43:00.0,0.217735,-0.756786,0.314741,-0.52991
44:00.0,0.227836,-0.739154,0.307508,-0.554239
45:00.0,0.237696,-0.72074,0.299952,-0.577982
46:00.0,0.247306,-0.701564,0.29208,-0.601113
47:00.0,0.256656,-0.681646,0.283899,-0.623608
48:00.0,0.265735,-0.661008,0.27542,-0.645444
49:00.0,0.274534,-0.63967,0.266651,-0.666597
50:00.0,0.283044,-0.617655,0.2576,-0.687045
51:00.0,0.291255,-0.594987,0.248278,-0.706766
52:00.0,0.29916,-0.57169,0.238695,-0.72574
53:00.0,0.30675,-0.547788,0.22886,-0.743946
54:00.0,0.314016,-0.523307,0.218784,-0.761366
55:00.0,0.320952,-0.498272,0.208477,-0.77798
56:00.0,0.327549,-0.47271,0.197951,-0.793771
57:00.0,0.333801,-0.446649,0.187216,-0.808722
58:00.0,0.339702,-0.420115,0.176284,-0.822819
59:00.0,0.345244,-0.393136,0.165166,-0.836045
00:00.0,0.350423,-0.365742,0.153874,-0.848386
01:00.0,0.355233,-0.337961,0.14242,-0.859831
02:00.0,0.359668,-0.309822,0.130816,-0.870366
03:00.0,0.363725,-0.281356,0.119073,-0.87998
04:00.0,0.367398,-0.252592,0.107206,-0.888663
05:00.0,0.370684,-0.223561,0.095226,-0.896407
06:00.0,0.37358,-0.194294,0.083145,-0.903203
07:00.0,0.376082,-0.164821,0.070976,-0.909043
08:00.0,0.378187,-0.135174,0.058733,-0.913922
09:00.0,0.379895,-0.105383,0.046428,-0.917834
10:00.0,0.381202,-0.075482,0.034074,-0.920775
11:00.0,0.382107,-0.0455,0.021684,-0.922743
12:00.0,0.38261,-0.015471,0.009271,-0.923734
13:00.0,0.382709,0.014575,-0.003152,-0.923748
14:00.0,0.382406,0.044606,-0.015571,-0.922786
15:00.0,0.381699,0.074589,-0.027974,-0.920847
16:00.0,0.38059,0.104494,-0.040348,-0.917935
17:00.0,0.379081,0.134287,-0.052679,-0.914051
18:00.0,0.377172,0.163939,-0.064954,-0.909201
19:00.0,0.374865,0.193418,-0.077161,-0.903389
20:00.0,0.372163,0.222692,-0.089287,-0.896622
21:00.0,0.36907,0.25173,-0.101319,-0.888906
22:00.0,0.365587,0.280502,-0.113244,-0.88025
23:00.0,0.36172,0.308977,-0.12505,-0.870663
24:00.0,0.357471,0.337126,-0.136724,-0.860155
25:00.0,0.352845,0.364918,-0.148254,-0.848738
26:00.0,0.347848,0.392324,-0.159628,-0.836422
27:00.0,0.342484,0.419315,-0.170833,-0.823223
28:00.0,0.33676,0.445863,-0.181859,-0.809152
29:00.0,0.33068,0.471939,-0.192693,-0.794225
30:00.0,0.324252,0.497515,-0.203324,-0.778459
31:00.0,0.317483,0.522566,-0.213741,-0.761869
32:00.0,0.310379,0.547064,-0.223932,-0.744473
33:00.0,0.302948,0.570983,-0.233888,-0.72629
34:00.0,0.295197,0.594298,-0.243597,-0.707339
35:00.0,0.287136,0.616985,-0.25305,-0.687639
36:00.0,0.278772,0.639019,-0.262236,-0.667213
37:00.0,0.270115,0.660377,-0.271146,-0.64608
38:00.0,0.261172,0.681037,-0.27977,-0.624265
39:00.0,0.251955,0.700977,-0.288099,-0.601789
40:00.0,0.242472,0.720175,-0.296125,-0.578676
41:00.0,0.232734,0.738611,-0.303839,-0.554951
42:00.0,0.22275,0.756266,-0.311232,-0.53064
43:00.0,0.212532,0.773121,-0.318298,-0.505767
44:00.0,0.202089,0.789159,-0.325029,-0.480359
45:00.0,0.191434,0.804361,-0.331417,-0.454444
46:00.0,0.180577,0.818713,-0.337455,-0.428047
47:00.0,0.16953,0.832199,-0.343139,-0.401198
48:00.0,0.158304,0.844805,-0.34846,-0.373925
49:00.0,0.146911,0.856517,-0.353415,-0.346256
50:00.0,0.135364,0.867324,-0.357997,-0.31822
51:00.0,0.123674,0.877213,-0.362202,-0.289849
52:00.0,0.111853,0.886174,-0.366026,-0.26117
53:00.0,0.099915,0.894198,-0.369463,-0.232216
54:00.0,0.087871,0.901276,-0.372512,-0.203016
55:00.0,0.075735,0.907401,-0.375168,-0.173601
56:00.0,0.063519,0.912566,-0.377429,-0.144002
57:00.0,0.051236,0.916766,-0.379292,-0.114251
58:00.0,0.038899,0.919996,-0.380755,-0.08438
59:00.0,0.026521,0.922253,-0.381817,-0.054419
00:00.0,0.014115,0.923535,-0.382477,-0.024401
01:00.0,0.001694,0.92384,-0.382734,0.005644
02:00.0,-0.010729,0.923167,-0.382588,0.035682
03:00.0,-0.023141,0.921519,-0.382038,0.065682
04:00.0,-0.035528,0.918895,-0.381087,0.095613
05:00.0,-0.047877,0.9153,-0.379733,0.125443
06:00.0,-0.060177,0.910737,-0.37798,0.15514
07:00.0,-0.072412,0.90521,-0.375828,0.184673
08:00.0,-0.084572,0.898726,-0.37328,0.214011
09:00.0,-0.096643,0.891292,-0.370339,0.243122
10:00.0,-0.108611,0.882914,-0.367008,0.271977
11:00.0,-0.120466,0.873603,-0.363289,0.300543
12:00.0,-0.132193,0.863368,-0.359189,0.328792
13:00.0,-0.143781,0.85222,-0.354709,0.356693
14:00.0,-0.155218,0.84017,-0.349856,0.384216
15:00.0,-0.166491,0.827232,-0.344635,0.411333
16:00.0,-0.177589,0.813418,-0.33905,0.438016
17:00.0,-0.188499,0.798745,-0.333108,0.464234
18:00.0,-0.199211,0.783226,-0.326815,0.489962
19:00.0,-0.209714,0.76688,-0.320178,0.515172
20:00.0,-0.219995,0.749722,-0.313203,0.539836
21:00.0,-0.230044,0.731771,-0.305898,0.56393
22:00.0,-0.239852,0.713046,-0.298271,0.587427
23:00.0,-0.249406,0.693567,-0.29033,0.610303
24:00.0,-0.258698,0.673354,-0.282083,0.632534
25:00.0,-0.267717,0.652429,-0.273538,0.654095
26:00.0,-0.276454,0.630815,-0.264706,0.674965
27:00.0,-0.2849,0.608533,-0.255594,0.69512
28:00.0,-0.293045,0.585607,-0.246213,0.71454
29:00.0,-0.300882,0.562062,-0.236573,0.733205
30:00.0,-0.308402,0.537922,-0.226683,0.751094
31:00.0,-0.315597,0.513214,-0.216554,0.768189
32:00.0,-0.32246,0.487963,-0.206198,0.784471
33:00.0,-0.328982,0.462195,-0.195624,0.799923
34:00.0,-0.335158,0.435939,-0.184844,0.81453
35:00.0,-0.340982,0.409222,-0.173869,0.828275
36:00.0,-0.346445,0.382071,-0.162711,0.841143
37:00.0,-0.351544,0.354517,-0.151381,0.853123
38:00.0,-0.356272,0.326588,-0.139892,0.864199
39:00.0,-0.360625,0.298313,-0.128255,0.874362
40:00.0,-0.364598,0.269723,-0.116484,0.8836
41:00.0,-0.368187,0.240848,-0.104589,0.891903
42:00.0,-0.371388,0.211718,-0.092585,0.899263
43:00.0,-0.374198,0.182364,-0.080482,0.905672
44:00.0,-0.376613,0.152817,-0.068295,0.911123
45:00.0,-0.378632,0.123108,-0.056036,0.91561
46:00.0,-0.380251,0.09327,-0.043718,0.919129
47:00.0,-0.38147,0.063332,-0.031354,0.921676
48:00.0,-0.382288,0.033328,-0.018956,0.923248
49:00.0,-0.382702,0.003288,-0.006539,0.923843
50:00.0,-0.382713,-0.026755,0.005885,0.923461
51:00.0,-0.382321,-0.05677,0.018303,0.922103
52:00.0,-0.381526,-0.086724,0.030702,0.919769
53:00.0,-0.380329,-0.116587,0.043068,0.916462
54:00.0,-0.378731,-0.146327,0.05539,0.912186
55:00.0,-0.376734,-0.175912,0.067652,0.906945
56:00.0,-0.374341,-0.20531,0.079844,0.900745
57:00.0,-0.371552,-0.234492,0.091951,0.893592
58:00.0,-0.368373,-0.263425,0.103962,0.885494
59:00.0,-0.364805,-0.29208,0.115863,0.87646
00:00.0,-0.360853,-0.320426,0.127642,0.866498
01:00.0,-0.356521,-0.348433,0.139287,0.85562
02:00.0,-0.351813,-0.376072,0.150785,0.843838
03:00.0,-0.346734,-0.403313,0.162124,0.831162
04:00.0,-0.34129,-0.430127,0.173292,0.817607
05:00.0,-0.335486,-0.456486,0.184277,0.803188
06:00.0,-0.329329,-0.482362,0.195069,0.787919
07:00.0,-0.322825,-0.507729,0.205655,0.771817
08:00.0,-0.315981,-0.532558,0.216024,0.754899
09:00.0,-0.308803,-0.556824,0.226166,0.737182
10:00.0,-0.301301,-0.580501,0.23607,0.718685
11:00.0,-0.293481,-0.603563,0.245725,0.699428
12:00.0,-0.285351,-0.625988,0.25512,0.679432
13:00.0,-0.276921,-0.64775,0.264248,0.658716
14:00.0,-0.2682,-0.668828,0.273096,0.637304
15:00.0,-0.259195,-0.689198,0.281657,0.615218
16:00.0,-0.249918,-0.708838,0.289922,0.592482
17:00.0,-0.240377,-0.72773,0.297881,0.569119
18:00.0,-0.230582,-0.745851,0.305526,0.545153
19:00.0,-0.220545,-0.763184,0.312849,0.520611
20:00.0,-0.210276,-0.779709,0.319842,0.495519
21:00.0,-0.199785,-0.79541,0.326499,0.469902
22:00.0,-0.189083,-0.810269,0.332811,0.443789
23:00.0,-0.178182,-0.824271,0.338773,0.417206
24:00.0,-0.167093,-0.837402,0.344378,0.390182
25:00.0,-0.155829,-0.849647,0.34962,0.362745
26:00.0,-0.1444,-0.860993,0.354494,0.334924
27:00.0,-0.132818,-0.871428,0.358994,0.30675
28:00.0,-0.121097,-0.880942,0.363116,0.27825
29:00.0,-0.109248,-0.889524,0.366856,0.249457
30:00.0,-0.097285,-0.897165,0.370209,0.2204
31:00.0,-0.085218,-0.903857,0.373172,0.191109
32:00.0,-0.073062,-0.909593,0.375742,0.161617
33:00.0,-0.060829,-0.914368,0.377915,0.131953
34:00.0,-0.048531,-0.918175,0.379691,0.10215
35:00.0,-0.036183,-0.921011,0.381067,0.072239
36:00.0,-0.023796,-0.922872,0.382041,0.042252
37:00.0,-0.011384,-0.923758,0.382612,0.01222
38:00.0,0.00104,-0.923667,0.382781,-0.017825
39:00.0,0.013463,-0.922598,0.382546,-0.047851
40:00.0,0.025871,-0.920554,0.381908,-0.077827
41:00.0,0.038253,-0.917536,0.380868,-0.10772
42:00.0,0.050594,-0.913548,0.379426,-0.137499
43:00.0,0.062882,-0.908594,0.377585,-0.167133
44:00.0,0.075103,-0.902678,0.375345,-0.19659
45:00.0,0.087246,-0.895808,0.372711,-0.225839
46:00.0,0.099297,-0.88799,0.369683,-0.254849
47:00.0,0.111243,-0.879233,0.366266,-0.28359
48:00.0,0.123072,-0.869546,0.362463,-0.312031
49:00.0,0.134771,-0.85894,0.358279,-0.340141
50:00.0,0.146328,-0.847424,0.353716,-0.367892
51:00.0,0.157732,-0.835013,0.348781,-0.395254
52:00.0,0.168969,-0.821718,0.343479,-0.422197
53:00.0,0.180028,-0.807555,0.337815,-0.448694
54:00.0,0.190897,-0.792537,0.331794,-0.474717
55:00.0,0.201565,-0.776681,0.325424,-0.500237
56:00.0,0.212021,-0.760003,0.318711,-0.525228
57:00.0,0.222254,-0.742522,0.311663,-0.549664
58:00.0,0.232252,-0.724255,0.304286,-0.573519
59:00.0,0.242006,-0.705223,0.296588,-0.596766
00:00.0,0.251505,-0.685444,0.288578,-0.619383
01:00.0,0.260739,-0.66494,0.280263,-0.641344
02:00.0,0.269698,-0.643733,0.271654,-0.662627
03:00.0,0.278373,-0.621846,0.262758,-0.683209
04:00.0,0.286754,-0.5993,0.253585,-0.703069
05:00.0,0.294834,-0.576121,0.244145,-0.722185
06:00.0,0.302603,-0.552332,0.234448,-0.740537
07:00.0,0.310053,-0.527959,0.224504,-0.758106
08:00.0,0.317177,-0.503028,0.214323,-0.774873
09:00.0,0.323966,-0.477565,0.203916,-0.79082
10:00.0,0.330414,-0.451596,0.193294,-0.805931
11:00.0,0.336514,-0.42515,0.182469,-0.820189
12:00.0,0.342259,-0.398255,0.171451,-0.83358
13:00.0,0.347644,-0.370938,0.160253,-0.84609
14:00.0,0.352663,-0.343229,0.148886,-0.857704
15:00.0,0.35731,-0.315156,0.137362,-0.868411
16:00.0,0.36158,-0.286751,0.125693,-0.8782
17:00.0,0.36547,-0.258042,0.113892,-0.88706
18:00.0,0.368974,-0.22906,0.101971,-0.894981
19:00.0,0.37209,-0.199836,0.089942,-0.901956
20:00.0,0.374814,-0.170401,0.077818,-0.907977
21:00.0,0.377142,-0.140786,0.065612,-0.913038
22:00.0,0.379074,-0.111021,0.053338,-0.917133
23:00.0,0.380606,-0.081139,0.041007,-0.920258
24:00.0,0.381737,-0.051172,0.028632,-0.922409
25:00.0,0.382466,-0.02115,0.016228,-0.923585
26:00.0,0.382791,0.008894,0.003806,-0.923784
27:00.0,0.382714,0.038929,-0.00862,-0.923006
28:00.0,0.382233,0.068922,-0.021036,-0.921252
29:00.0,0.38135,0.098843,-0.033431,-0.918523
30:00.0,0.380064,0.128659,-0.04579,-0.914823
31:00.0,0.378379,0.158339,-0.058101,-0.910155
32:00.0,0.376294,0.187851,-0.070351,-0.904525
33:00.0,0.373813,0.217165,-0.082527,-0.897938
34:00.0,0.370939,0.246249,-0.094616,-0.890401
35:00.0,0.367673,0.275073,-0.106606,-0.881922
36:00.0,0.36402,0.303605,-0.118483,-0.872511
37:00.0,0.359983,0.331817,-0.130235,-0.862177
38:00.0,0.355568,0.359677,-0.14185,-0.85093
39:00.0,0.350777,0.387157,-0.153316,-0.838784
40:00.0,0.345617,0.414228,-0.16462,-0.825751
41:00.0,0.340093,0.44086,-0.17575,-0.811844
42:00.0,0.33421,0.467026,-0.186696,-0.797079
43:00.0,0.327975,0.492698,-0.197445,-0.781471
44:00.0,0.321395,0.517849,-0.207986,-0.765036
45:00.0,0.314476,0.542453,-0.218308,-0.747791
46:00.0,0.307225,0.566482,-0.2284,-0.729756
47:00.0,0.299651,0.589912,-0.238251,-0.71095
48:00.0,0.291761,0.612719,-0.247851,-0.691391
49:00.0,0.283564,0.634877,-0.25719,-0.671101
50:00.0,0.275068,0.656364,-0.266258,-0.650101
51:00.0,0.266282,0.677156,-0.275046,-0.628413
52:00.0,0.257215,0.697232,-0.283544,-0.606061
53:00.0,0.247877,0.716571,-0.291743,-0.583068
54:00.0,0.238279,0.735152,-0.299635,-0.559458
55:00.0,0.228429,0.752955,-0.307211,-0.535257
56:00.0,0.218338,0.769962,-0.314464,-0.510489
57:00.0,0.208017,0.786155,-0.321385,-0.485181
58:00.0,0.197477,0.801516,-0.327967,-0.459361
59:00.0,0.186729,0.816029,-0.334204,-0.433054
00:00.0,0.175784,0.829679,-0.340089,-0.40629
01:00.0,0.164654,0.842452,-0.345616,-0.379095
02:00.0,0.153351,0.854333,-0.350779,-0.3515
03:00.0,0.141886,0.865311,-0.355571,-0.323533
04:00.0,0.130271,0.875374,-0.35999,-0.295224
05:00.0,0.118519,0.884511,-0.364029,-0.266602
06:00.0,0.106642,0.892712,-0.367684,-0.237699
07:00.0,0.094652,0.899969,-0.370952,-0.208544
08:00.0,0.082563,0.906274,-0.37383,-0.179169
09:00.0,0.070387,0.911621,-0.376313,-0.149604
10:00.0,0.058137,0.916003,-0.3784,-0.119881
11:00.0,0.045825,0.919417,-0.380088,-0.090031
12:00.0,0.033465,0.921858,-0.381376,-0.060086
13:00.0,0.02107,0.923324,-0.382262,-0.030078
14:00.0,0.008652,0.923814,-0.382745,-0.000037
15:00.0,-0.003775,0.923326,-0.382825,0.030003
16:00.0,-0.016198,0.921862,-0.382501,0.060012
17:00.0,-0.028603,0.919422,-0.381775,0.089957
18:00.0,-0.040979,0.916011,-0.380646,0.119807
19:00.0,-0.053312,0.91163,-0.379116,0.14953
20:00.0,-0.065588,0.906285,-0.377187,0.179095
21:00.0,-0.077796,0.899982,-0.37486,0.208471
22:00.0,-0.089921,0.892727,-0.372139,0.237626
23:00.0,-0.101952,0.884527,-0.369025,0.266529
24:00.0,-0.113875,0.875392,-0.365522,0.295151
25:00.0,-0.125679,0.865331,-0.361634,0.323461
26:00.0,-0.13735,0.854355,-0.357366,0.351428
27:00.0,-0.148876,0.842476,-0.35272,0.379024
28:00.0,-0.160246,0.829705,-0.347703,0.406219
29:00.0,-0.171447,0.816056,-0.34232,0.432984
30:00.0,-0.182467,0.801545,-0.336576,0.459291
31:00.0,-0.193295,0.786186,-0.330477,0.485113
32:00.0,-0.203919,0.769995,-0.32403,0.510421
33:00.0,-0.214329,0.75299,-0.317242,0.535189
34:00.0,-0.224512,0.735188,-0.310119,0.559392
35:00.0,-0.23446,0.716609,-0.30267,0.583002
36:00.0,-0.24416,0.697272,-0.294901,0.605996
37:00.0,-0.253603,0.677197,-0.286822,0.628349
38:00.0,-0.262779,0.656406,-0.278441,0.650038
39:00.0,-0.271678,0.634921,-0.269766,0.671039
40:00.0,-0.280291,0.612764,-0.260807,0.69133
41:00.0,-0.288608,0.58996,-0.251573,0.71089
42:00.0,-0.296622,0.566531,-0.242074,0.729698
43:00.0,-0.304323,0.542503,-0.23232,0.747734
44:00.0,-0.311703,0.517901,-0.222321,0.764979
45:00.0,-0.318755,0.492752,-0.212088,0.781415
46:00.0,-0.325471,0.467081,-0.201631,0.797025
47:00.0,-0.331845,0.440916,-0.190962,0.811791
48:00.0,-0.337868,0.414285,-0.180092,0.825699
49:00.0,-0.343536,0.387216,-0.169032,0.838734
50:00.0,-0.348842,0.359738,-0.157793,0.850882
51:00.0,-0.35378,0.331879,-0.146388,0.862129
52:00.0,-0.358345,0.303668,-0.13483,0.872465
53:00.0,-0.362533,0.275137,-0.123128,0.881878
54:00.0,-0.366339,0.246315,-0.111298,0.890358
55:00.0,-0.369759,0.217232,-0.099349,0.897896
56:00.0,-0.37279,0.187919,-0.087297,0.904485
57:00.0,-0.375427,0.158408,-0.075152,0.910117
58:00.0,-0.377669,0.128729,-0.062928,0.914787
59:00.0,-0.379513,0.098914,-0.050637,0.918489
